date,open,close
2018-04-24,98.84,99.19
2018-04-25,99.19,100.46
2018-04-26,100.46,100.29
2018-04-27,100.29,100.45
2018-04-30,100.45,100.5
2018-05-01,100.5,101.66
2018-05-02,101.66,102.6
2018-05-03,102.6,102.78
2018-05-04,102.78,101.38
2018-05-07,101.38,102.33
2018-05-08,102.33,102.64
2018-05-09,102.64,104.0
2018-05-10,104.0,103.81
2018-05-11,103.81,106.08
2018-05-14,106.08,105.47
2018-05-15,105.47,107.33
2018-05-16,107.33,107.31
2018-05-17,107.31,106.49
2018-05-18,106.49,104.89
2018-05-21,104.89,104.54
2018-05-22,104.54,106.17
2018-05-23,106.17,107.05
2018-05-24,107.05,107.77
2018-05-25,107.77,104.54
2018-05-28,104.54,105.27
2018-05-29,105.27,105.82
2018-05-30,105.82,104.96
2018-05-31,104.96,104.01
2018-06-01,104.01,103.85
2018-06-04,103.85,105.85
2018-06-05,105.85,104.35
2018-06-06,104.35,103.66
2018-06-07,103.66,105.19
2018-06-08,105.19,104.47
2018-06-11,104.47,103.86
2018-06-12,103.86,103.83
2018-06-13,103.83,102.12
2018-06-14,102.12,102.24
2018-06-15,102.24,100.6
2018-06-18,100.6,101.67
2018-06-19,101.67,101.68
2018-06-20,101.68,104.46
2018-06-21,104.46,104.81
2018-06-22,104.81,106.53
2018-06-25,106.53,105.02
2018-06-26,105.02,106.43
2018-06-27,106.43,107.35
2018-06-28,107.35,109.48
2018-06-29,109.48,110.58
2018-07-02,110.58,110.82
2018-07-03,110.82,110.29
2018-07-04,110.29,108.8
2018-07-05,108.8,109.22
2018-07-06,109.22,109.13
2018-07-09,109.13,111.94
2018-07-10,111.94,111.29
2018-07-11,111.29,111.89
2018-07-12,111.89,109.95
2018-07-13,109.95,109.59
2018-07-16,109.59,110.1
2018-07-17,110.1,111.35
2018-07-18,111.35,113.45
2018-07-19,113.45,113.56
2018-07-20,113.56,112.21
2018-07-23,112.21,113.0
2018-07-24,113.0,113.87
2018-07-25,113.87,114.71
2018-07-26,114.71,113.92
2018-07-27,113.92,115.64
2018-07-30,115.64,115.93
2018-07-31,115.93,117.08
2018-08-01,117.08,119.05
2018-08-02,119.05,120.1
2018-08-03,120.1,120.69
2018-08-06,120.69,123.99
2018-08-07,123.99,124.54
2018-08-08,124.54,124.28
2018-08-09,124.28,124.63
2018-08-10,124.63,127.04
2018-08-13,127.04,127.41
2018-08-14,127.41,128.39
2018-08-15,128.39,130.43
2018-08-16,130.43,129.82
2018-08-17,129.82,127.33
2018-08-20,127.33,127.98
2018-08-21,127.98,128.52
2018-08-22,128.52,127.78
2018-08-23,127.78,129.3
2018-08-24,129.3,130.44
2018-08-27,130.44,129.08
2018-08-28,129.08,130.07
2018-08-29,130.07,129.96
2018-08-30,129.96,127.85
2018-08-31,127.85,128.73
2018-09-03,128.73,128.86
2018-09-04,128.86,127.9
2018-09-05,127.9,128.89
2018-09-06,128.89,129.84
2018-09-07,129.84,129.13
2018-09-10,129.13,129.95
2018-09-11,129.95,131.73
2018-09-12,131.73,130.8
2018-09-13,130.8,131.59
2018-09-14,131.59,131.79
2018-09-17,131.79,135.38
2018-09-18,135.38,134.0
2018-09-19,134.0,132.17
2018-09-20,132.17,132.67
2018-09-21,132.67,132.53
2018-09-24,132.53,132.36
2018-09-25,132.36,130.99
2018-09-26,130.99,129.3
2018-09-27,129.3,130.09
2018-09-28,130.09,132.12
2018-10-01,132.12,129.35
2018-10-02,129.35,129.21
2018-10-03,129.21,129.1
2018-10-04,129.1,126.17
2018-10-05,126.17,128.18
